Question	Answers	Image	Category
Who directed the movie Jaws?	Steven Spielberg, Spielberg		popculture
What band was Freddie Mercury the lead singer of?	Queen		popculture
What famous painting is this?	Starry Night, The Starry Night	images/painting_starry_night.jpg	popculture
Who painted the Mona Lisa?	Leonardo da Vinci, Da Vinci		popculture
What instrument is this?	Saxophone	images/instrument_saxophone.jpg	popculture
What instrument is this?	Harp	images/instrument_harp.jpg	popculture
What food is this?	Ramen	images/food_ramen.jpg	popculture
What food is this?	Paella	images/food_paella.jpg	popculture
What famous painting is this?	The Last Supper	images/painting_the_last_supper.jpg	popculture
What author wrote Harry Potter?	JK Rowling, J.K. Rowling, Rowling		popculture
What TV show features a character named Walter White?	Breaking Bad		popculture
In what year did the Titanic sink?	1912		popculture
What band sang Bohemian Rhapsody?	Queen		popculture
Who played Jack in Titanic?	Leonardo DiCaprio, DiCaprio		popculture
What sport does Serena Williams play?	Tennis		popculture
What famous painting is this?	The Birth of Venus, Birth of Venus	images/painting_the_birth_of_venus.jpg	popculture
What food is this?	Pad Thai	images/food_pad_thai.jpg	popculture
What painting is this?	The Kiss	images/painting_the_kiss.jpg	popculture
What instrument is this?	Sitar	images/instrument_sitar.jpg	popculture
Who created the character Sherlock Holmes?	Arthur Conan Doyle, Conan Doyle		popculture
What sitcom features characters named Ross and Rachel?	Friends		popculture
Who sang Thriller?	Michael Jackson		popculture
What video game features a character named Link?	Zelda, Legend of Zelda		popculture
What fictional wizard school does Harry Potter attend?	Hogwarts		popculture
Who wrote Romeo and Juliet?	Shakespeare, William Shakespeare		popculture
What painting is this?	Girl with a Pearl Earring	images/painting_girl_with_a_pearl_earring.jpg	popculture
What food is this?	Falafel	images/food_falafel.jpg	popculture
Who is the Greek god of the sea?	Poseidon		popculture
Name this famous painting?	American Gothic	images/painting_american_gothic.jpg	popculture
What sport does Lionel Messi play?	Soccer, Football		popculture
Who directed Pulp Fiction?	Quentin Tarantino, Tarantino		popculture
What instrument is this?	Bagpipes	images/instrument_bagpipes.jpg	popculture
What food is this?	Kimchi	images/food_kimchi.jpg	popculture
Chemical symbol for gold?	Au		science
What is the powerhouse of the cell?	Mitochondria		science
Square root of 144?	12, twelve		science
First man to walk on the moon?	Neil Armstrong, Armstrong		science
Organ that pumps blood?	Heart		science
What animal is this?	Capybara	images/animal_capybara.jpg	science
What animal is this?	Platypus	images/animal_platypus.jpg	science
What animal is this?	Axolotl	images/animal_axolotl.jpg	science
What animal is this?	Pangolin	images/animal_pangolin.jpg	science
What is the speed of light in km/s approximately?	300000		science
What element has the atomic number 1?	Hydrogen		science
What planet has the most moons?	Saturn		science
Who developed the theory of relativity?	Einstein, Albert Einstein		science
What is the chemical formula for table salt?	NaCl		science
What is the largest planet in our solar system?	Jupiter		science
How many chambers does the human heart have?	4, four		science
What is the chemical symbol for iron?	Fe		science
What bone is the funny bone?	Humerus		science
What vitamin does the sun help your body produce?	Vitamin D, D		science
What is the process of plants making food from sunlight?	Photosynthesis		science
What is the largest mammal?	Blue Whale, Blue whale		science
What gas makes up most of Earth's atmosphere?	Nitrogen		science
What natural wonder is this?	Grand Canyon	images/nature_grand_canyon.jpg	science
What natural wonder is this?	Victoria Falls	images/nature_victoria_falls.jpg	science
What part of the brain controls balance?	Cerebellum		science
How many chromosomes do humans have?	46		science
What is the smallest bone in the human body?	Stapes, Stirrup		science
What metal is liquid at room temperature?	Mercury		science
What is the study of fossils called?	Paleontology		science
What natural formation is this?	Giant's Causeway, Giants Causeway	images/nature_giant_s_causeway.jpg	science
What type of rock is formed from cooled lava?	Ignite, Igneous		science
What is this?	Airplane, Plane	images/misc_airplane.jpg	science
Capital of Australia?	Canberra		geography
Longest river in the world?	Nile, Nile River		geography
Largest desert in the world?	Antarctica, Antarctic Desert		geography
Currency of Japan?	Yen		geography
Capital of South Korea?	Seoul		geography
What country does this flag belong to?	South Korea, Korea	images/flag_south_korea.png	geography
What country does this flag belong to?	Australia	images/flag_australia.png	geography
What country does this flag belong to?	Greece	images/flag_greece.png	geography
What country does this flag belong to?	Argentina	images/flag_argentina.png	geography
What country does this flag belong to?	Spain	images/flag_spain.png	geography
What country does this flag belong to?	Kenya	images/flag_kenya.png	geography
What country does this flag belong to?	Jamaica	images/flag_jamaica.png	geography
What famous landmark is this?	Colosseum, Roman Colosseum	images/landmark_colosseum.jpg	geography
What famous landmark is this?	Golden Gate Bridge	images/landmark_golden_gate_bridge.jpg	geography
What famous landmark is this?	Christ the Redeemer	images/landmark_christ_the_redeemer.jpg	geography
What famous landmark is this?	Leaning Tower of Pisa, Tower of Pisa	images/landmark_leaning_tower_of_pisa.jpg	geography
What famous landmark is this?	Machu Picchu	images/landmark_machu_picchu.jpg	geography
Capital of Thailand?	Bangkok		geography
What is the smallest country in the world?	Vatican City, Vatican		geography
What country has the most people?	India		geography
Currency of the United Kingdom?	Pound, Pound Sterling, GBP		geography
Capital of Argentina?	Buenos Aires		geography
Capital of Canada?	Ottawa		geography
Capital of Mexico?	Mexico City		geography
Capital of Russia?	Moscow		geography
Capital of India?	New Delhi, Delhi		geography
What is the longest river in Europe?	Volga, Volga River		geography
What famous landmark is this?	Sydney Opera House	images/landmark_sydney_opera_house.jpg	geography
What famous landmark is this?	Stonehenge	images/landmark_stonehenge.jpg	geography
What food originated from the country shown in this flag?	Baklava	images/food_baklava.jpg	geography
What food is this traditionally from East Asia?	Pho	images/food_pho.jpg	geography
What country does this flag belong to?	Netherlands, Holland	images/flag_netherlands.png	geography
What country does this flag belong to?	Vietnam	images/flag_vietnam.png	geography
What country does this flag belong to?	Finland	images/flag_finland.png	geography
What country does this flag belong to?	Lebanon	images/flag_lebanon.png	geography
In which continent is the Sahara Desert?	Africa		geography
